# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Sat Oct  5 11:18:04 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (default_flag = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and disc_facility like '%TESS%'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN default_flag:   Default Parameter Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_year:      Discovery Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_facility:  Discovery Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN soltype:        Solution Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_refname:     Planetary Parameter Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_insol:       Insolation Flux [Earth Flux],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_eqt:         Equilibrium Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ttv_flag:       Data show Transit Timing Variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_refname:     Stellar Parameter Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_spectype:    Spectral Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_met:         Stellar Metallicity [dex],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_metratio:    Stellar Metallicity Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_refname:     System Parameter Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN rastr:          RA [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ra:             RA [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN decstr:         Dec [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN dec:            Dec [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN releasedate:    Release Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,disc_year,ra [dec],dec [deg],distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 213885 b,2019,338.9837166,-59.864829,48.0883,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 21520 b,2024,51.6403449,-43.6136649,79.208,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 21749 c,2019,51.7501882,-63.500166,16.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 219666 b,2018,349.5592665,-56.9039857,94.1719,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 221416 b,2019,353.0331863,-21.8012007,95.5483,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 22946 d,2023,54.819538,-42.7630276,62.7792,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 23472 b,2019,55.4590314,-62.7672667,39.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 23472 c,2019,55.4590314,-62.7672667,39.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 23472 d,2022,55.4590314,-62.7672667,39.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 23472 e,2022,55.4590314,-62.7672667,39.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 23472 f,2022,55.4590314,-62.7672667,39.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 235088 b,2023,300.6154535,53.3774418,41.1706,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 25463 b,2023,60.7483361,9.2077676,45.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 25463 c,2023,60.7483361,9.2077676,45.6181,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 260655 b,2022,99.2915429,17.5662696,10.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 260655 c,2022,99.2915429,17.5662696,10.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 2685 b,2019,7.3289156,-76.304032,196.852,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 28109 b,2022,65.2383065,-68.1026875,139.611,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 28109 c,2022,65.2383065,-68.1026875,139.611,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 28109 d,2022,65.2383065,-68.1026875,139.611,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 332231 b,2020,306.741134,33.7443882,80.6665,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 42813 b,2023,93.0578446,-14.6493167,68.192,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 5278 b,2021,12.5467785,-83.7437671,57.5846,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 56414 b,2022,107.8436846,-68.8333403,272.217,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 6061 b,2023,15.5981441,37.1854394,67.6203,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 63433 b,2020,117.4793699,27.3631342,22.4035,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 63433 c,2020,117.4793699,27.3631342,22.4035,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 63433 d,2023,117.4793699,27.3631342,22.4035,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 63935 b,2021,117.9246417,9.3852412,48.9739,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 73583 b,2022,129.6883026,-13.2565267,31.5666,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 73583 c,2022,129.6883026,-13.2565267,31.5666,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 77946 b,2024,136.777644,46.6724251,99.451,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 86226 c,2020,149.1235154,-24.0991859,45.683,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 93963 A b,2022,162.7766969,25.641065,82.3432,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 93963 A c,2022,162.7766969,25.641065,82.3432,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 113103 b,2023,343.5723794,-43.0102291,46.2122,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 113103 c,2023,343.5723794,-43.0102291,46.2122,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 65 A b,2020,0.1856063,-54.8308228,61.7856,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 67522 b,2020,207.526001,-40.8358961,127.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 67522 c,2024,207.526001,-40.8358961,127.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 8152 b,2023,26.2092533,-18.4013844,101.694,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 8152 c,2023,26.2092533,-18.4013844,101.694,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 94235 b,2022,287.7411441,-60.2726358,58.5146,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 9618 b,2023,30.9050061,21.2813274,67.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 9618 c,2023,30.9050061,21.2813274,67.5478,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP 97166 b,2021,296.2446203,74.0628577,65.9501,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 858 b,2019,42.9849779,-30.8140609,31.964,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 858 c,2019,42.9849779,-30.8140609,31.964,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR 858 d,2019,42.9849779,-30.8140609,31.964,,,,,,,,,,,,,,,,,,,,,,,,,,,
L 168-9 b,2020,350.0285917,-60.0657292,25.1496,,,,,,,,,,,,,,,,,,,,,,,,,,,
L 98-59 b,2019,124.5328604,-68.3144658,10.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,
L 98-59 c,2019,124.5328604,-68.3144658,10.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,
L 98-59 d,2019,124.5328604,-68.3144658,10.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS 1478 b,2021,44.3388743,76.5514045,18.2276,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS 1678 b,2021,68.1789866,-39.7908744,19.8782,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS 1678 c,2021,68.1789866,-39.7908744,19.8782,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS 1678 d,2024,68.1789866,-39.7908744,19.8782,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS 1815 b,2020,91.0899861,-55.3115376,29.8424,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS 3844 b,2019,340.4962038,-69.1721081,14.8846,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS 475 b,2023,290.2379403,-82.5597883,12.4814,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 714-47 b,2020,64.1902212,-12.0848643,52.616,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 791-18 b,2019,165.6904843,-16.4064445,26.4927,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 791-18 c,2019,165.6904843,-16.4064445,26.4927,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP 890-9 b,2022,64.1309096,-28.3157909,32.4298,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 1445 A b,2019,45.4624781,-16.5944956,6.86929,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 1445 A c,2022,45.4624781,-16.5944956,6.86929,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 3780 b,2020,154.6449033,-11.717801,21.9814,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 3780 c,2020,154.6449033,-11.717801,21.9814,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 9779 b,2020,358.6688767,-37.6282237,80.4373,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-11 b,2020,23.5214497,-14.4191493,190.422,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-20 b,2022,46.2926368,-21.9336472,382.898,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-27 b,2024,206.0265266,-32.5229747,942.122,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-30 b,2024,173.714867,-24.6054801,238.377,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 139270665 b,2024,124.0338967,33.2914532,189.875,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 172900988 b,2021,128.6616644,31.5539793,250.956,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 237913194 b,2020,22.4458116,-60.7399096,306.063,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 241249530 b,2024,95.3088995,53.2950203,324.448,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 257060897 b,2021,227.5321527,72.7103128,505.703,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 279401253 b,2023,57.6572277,-15.0262251,285.584,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 365102760 b,2024,305.8398236,54.3943194,555.546,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 393818343 b,2024,310.2917002,3.6382967,93.7345,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 46432937 b,2024,83.8689794,-14.5971909,90.5369,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIC 4672985 b,2024,38.4706782,-10.6573827,253.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1052 b,2023,337.5102738,-75.6465606,129.804,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1062 b,2021,38.1209678,-78.0236828,82.1733,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1064 b,2022,296.0039349,-47.5620305,68.0726,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1064 c,2022,296.0039349,-47.5620305,68.0726,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1075 b,2022,309.9712091,-65.4496994,61.4592,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1107 b,2022,155.6078632,-82.2188693,281.314,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1130 b,2020,286.3760037,-41.4376399,58.2609,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1130 c,2020,286.3760037,-41.4376399,58.2609,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1135 b,2024,193.3963704,85.1294952,114.048,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1136 b,2022,192.1848981,64.8552755,84.5362,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1136 c,2022,192.1848981,64.8552755,84.5362,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1136 d,2022,192.1848981,64.8552755,84.5362,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1136 e,2022,192.1848981,64.8552755,84.5362,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1136 f,2022,192.1848981,64.8552755,84.5362,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1136 g,2022,192.1848981,64.8552755,84.5362,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1173 b,2024,197.6830975,70.7680117,132.353,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1174 b,2024,209.2171751,68.6182106,94.6375,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1180 b,2024,214.5557741,82.1937642,72.0238,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1181 b,2022,297.2158166,64.3543506,302.819,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1184 b,2024,272.2045196,60.6787845,58.5946,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1194 b,2023,167.8214811,69.9647749,149.667,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1199 b,2024,166.8806581,61.3525723,248.427,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1201 b,2021,42.2476999,-14.5372835,37.8871,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-122 b,2020,332.9482355,-58.946085,62.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1221 b,2023,107.9210254,-65.5088568,138.411,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1224 b,2024,37.1978356,-80.8991053,37.3312,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1224 c,2024,37.1978356,-80.8991053,37.3312,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1227 b,2022,186.7673635,-72.4518501,100.641,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1231 b,2021,156.74726,-52.4678724,27.6227,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1235 b,2020,152.2182549,69.2766204,39.6345,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1244 b,2024,256.279559,69.519093,102.551,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1246 b,2022,251.1158702,70.4299917,169.422,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1246 c,2022,251.1158702,70.4299917,169.422,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1246 d,2022,251.1158702,70.4299917,169.422,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1246 e,2022,251.1158702,70.4299917,169.422,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1248 b,2024,259.0235918,63.1056072,168.735,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1249 b,2024,200.5615762,66.3085331,139.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 b,2019,23.5934253,-66.6763495,111.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 c,2019,23.5934253,-66.6763495,111.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 d,2020,23.5934253,-66.6763495,111.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1259 A b,2021,282.1001665,79.2564761,118.106,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1260 b,2021,157.1440712,65.8541986,73.5977,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1260 c,2021,157.1440712,65.8541986,73.5977,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1260 d,2022,157.1440712,65.8541986,73.5977,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1266 b,2020,197.9965833,65.8336973,36.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1266 c,2020,197.9965833,65.8336973,36.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1268 b,2022,198.3885831,62.3053799,109.557,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1269 b,2024,249.6966397,64.559181,172.138,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1272 b,2022,199.1962036,49.8610591,137.572,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1273 b,2024,214.1208564,58.3902534,177.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
